n,D,A_r,A_B,A_F,α,β,f_c,f_y
1,50,0,3000,71073.00918,0,0,46.531,397
1,50,0,3000,71073.00918,0,0,46.531,397
1,60,0,3000,69345.13322,0,0,46.531,397
1,60,0,3000,69345.13322,0,0,46.531,397
1,60,0,3000,69345.13322,0,0,46.531,397
1,75,0,3000,66164.27066,0,0,46.531,397
1,75,0,3000,66164.27066,0,0,46.531,397
1,75,0,3000,66164.27066,0,0,46.531,397
1,60,380.1327111,3000,69345.13322,0,0,46.531,397
1,60,380.1327111,3000,69345.13322,0,0,46.531,397
1,60,380.1327111,3000,69345.13322,0,0,46.531,397
2,60,0,3000,108690.2664,0,0,46.531,397
2,60,0,3000,108690.2664,0,0,46.531,397
2,60,0,3000,108690.2664,0,0,46.531,397
2,60,760.2654222,3000,108690.2664,0,0,46.531,397
2,60,760.2654222,3000,108690.2664,0,0,46.531,397
2,60,760.2654222,3000,108690.2664,0,0,46.531,397
2,35,157.0796327,952.5,23583.549,1,0,44.477,500
2,35,157.0796327,952.5,23583.549,1,0,44.477,500
2,35,157.0796327,952.5,23583.549,1,0,44.477,500
2,35,157.0796327,952.5,23583.549,1,0,44.477,500
2,35,157.0796327,1875,50151.549,1,0,44.477,500
2,35,157.0796327,1875,50151.549,1,0,44.477,500
2,35,157.0796327,1875,50151.549,1,0,44.477,500
2,35,157.0796327,1875,50151.549,1,0,44.477,500
2,50,0,1651,87396.01837,1,0,20.91,426.6
3,50,0,1651,83469.02755,1,0,20.91,426.6
4,50,0,1651,79542.03673,1,0,20.91,426.6
0,50,0,1651,95250,1,0,20.91,426.6
2,50,0,1651,87396.01837,1,0,20.91,426.6
3,50,0,1651,83469.02755,1,0,20.91,426.6
4,50,0,1651,79542.03673,1,0,20.91,426.6
0,50,0,1651,95250,1,0,34.05,426.6
2,50,0,1651,87396.01837,1,0,41.43,426.6
3,50,0,1651,83469.02755,1,0,41.43,426.6
4,50,0,1651,79542.03673,1,0,41.43,426.6
0,50,0,1651,95250,1,0,41.43,426.6
2,50,0,1651,87396.01837,1,0,41.43,426.6
3,50,0,1651,83469.02755,1,0,41.43,426.6
4,50,0,1651,79542.03673,1,0,41.43,426.6
2,50,0,1651,87396.01837,1,0,24.82,406.4
3,50,0,1651,83469.02755,1,0,24.82,406.4
4,50,0,1651,79542.03673,1,0,24.82,406.4
0,50,0,1651,95250,1,0,24.82,406.4
2,50,0,1651,87396.01837,1,0,24.82,406.4
3,50,0,1651,83469.02755,1,0,24.82,406.4
4,50,0,1651,79542.03673,1,0,24.82,406.4
3,50,0,1651,83723.02755,1,0,27.49,406.4
3,50,0,1651,83723.02755,1,0,27.49,406.4
3,50,0,1651,83723.02755,1,0,27.79,406.4
3,50,0,1651,83723.02755,1,0,27.79,406.4
